q1_name,df_id,df_name,is_oa
NATURE IMMUNOLOGY,https://openalex.org/S41063453,Nature Immunology,False
ASTRONOMY AND ASTROPHYSICS REVIEW,https://openalex.org/S982342581,The Astronomy and Astrophysics Review,False
Nature Biomedical Engineering,https://openalex.org/S2764624792,Nature Biomedical Engineering,False
Cell Metabolism,https://openalex.org/S177533077,Cell Metabolism,False
Molecular Cancer,https://openalex.org/S132829192,Molecular Cancer,True
ADVANCED MATERIALS,https://openalex.org/S99352657,Advanced Materials,False
eLight,https://openalex.org/S4210205584,eLight,False
Annual Review of Immunology,https://openalex.org/S109088427,Annual Review of Immunology,False
JOURNAL OF HEPATOLOGY,https://openalex.org/S83651209,Journal of Hepatology,False
Gastroenterology,https://openalex.org/S143352558,Gastroenterology,False
Living Reviews in Relativity,https://openalex.org/S110783047,Living Reviews in Relativity,True
Annual Review of Astronomy and Astrophysics,https://openalex.org/S29882555,Annual Review of Astronomy and Astrophysics,False
Nature Sustainability,https://openalex.org/S4210188283,Nature Sustainability,False
Science Robotics,https://openalex.org/S4210213233,Science Robotics,False
PROGRESS IN POLYMER SCIENCE,https://openalex.org/S119685760,Progress in Polymer Science,False
Immunity,https://openalex.org/S199671312,Immunity,False
Lancet Public Health,https://openalex.org/S2764808104,The Lancet Public Health,True
Annual Review of Fluid Mechanics,https://openalex.org/S169493037,Annual Review of Fluid Mechanics,False
EUROPEAN UROLOGY,https://openalex.org/S96871409,European Urology,False
REVIEWS OF GEOPHYSICS,https://openalex.org/S129102366,Reviews of Geophysics,False
Advances in Optics and Photonics,https://openalex.org/S191306374,Advances in Optics and Photonics,False
JAMA Pediatrics,https://openalex.org/S14226812,JAMA Pediatrics,False
FUNGAL DIVERSITY,https://openalex.org/S150033744,Fungal Diversity,False
Interdisciplinary Materials,https://openalex.org/S4210196679,Interdisciplinary materials,True
Advanced Energy Materials,https://openalex.org/S2502627819,Advanced Energy Materials,False
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,https://openalex.org/S48633963,Physics Reports,False
ACM COMPUTING SURVEYS,https://openalex.org/S157921468,ACM Computing Surveys,False
iMeta,https://openalex.org/S4220650979,iMeta,True
Annual Review of Psychology,https://openalex.org/S90670110,Annual Review of Psychology,False
Nature Food,https://openalex.org/S4210207988,Nature Food,False
Nature Cancer,https://openalex.org/S4210236562,Nature Cancer,False
PROCEEDINGS OF THE IEEE,https://openalex.org/S68686220,Proceedings of the IEEE,False
Advanced Composites and Hybrid Materials,https://openalex.org/S4210207107,Advanced Composites and Hybrid Materials,False
GUT,https://openalex.org/S3251770,Gut,False
Living Reviews in Solar Physics,https://openalex.org/S36812265,Living Reviews in Solar Physics,True
InfoMat,https://openalex.org/S4210212605,InfoMat,True
JAMA Psychiatry,https://openalex.org/S2495708506,JAMA Psychiatry,False
Nature Human Behaviour,https://openalex.org/S2764866340,Nature Human Behaviour,False
JAMA Oncology,https://openalex.org/S2756165422,JAMA Oncology,False
JAMA Internal Medicine,https://openalex.org/S65364685,JAMA Internal Medicine,False
EnergyChem,https://openalex.org/S4210219518,EnergyChem,False
ENDOCRINE REVIEWS,https://openalex.org/S13493133,Endocrine Reviews,False
Cellular & Molecular Immunology,https://openalex.org/S19143454,Cellular and Molecular Immunology,False
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,https://openalex.org/S60865174,Journal of the American College of Cardiology,False
Annual Review of Public Health,https://openalex.org/S113591250,Annual Review of Public Health,False
Annual Review of Plant Biology,https://openalex.org/S176558078,Annual Review of Plant Biology,False
NATURE NEUROSCIENCE,https://openalex.org/S2298632,Nature Neuroscience,False
Journal of Thoracic Oncology,https://openalex.org/S90745127,Journal of Thoracic Oncology,False
BLOOD,https://openalex.org/S200071133,Blood,False
Materials Today,https://openalex.org/S63322718,Materials Today,False
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,https://openalex.org/S183158886,MMWR Morbidity and Mortality Weekly Report,True
JAMA Neurology,https://openalex.org/S164389565,JAMA Neurology,False
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,https://openalex.org/S199944782,IEEE Transactions on Pattern Analysis and Machine Intelligence,False
Cell Host & Microbe,https://openalex.org/S207313999,Cell Host & Microbe,False
Light-Science & Applications,https://openalex.org/S2498964232,Light Science & Applications,True
Advanced Photonics,https://openalex.org/S4363605674,Advanced Photonics,False
Nature Microbiology,https://openalex.org/S2764926557,Nature Microbiology,False
ANNALS OF THE RHEUMATIC DISEASES,https://openalex.org/S25650217,Annals of the Rheumatic Diseases,False
Applied Catalysis B-Environment and Energy,https://openalex.org/S134307298,Applied Catalysis B Environment and Energy,False
COORDINATION CHEMISTRY REVIEWS,https://openalex.org/S117186765,Coordination Chemistry Reviews,False
Journal of Bioresources and Bioproducts,https://openalex.org/S4210174242,Journal of Bioresources and Bioproducts,True
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,https://openalex.org/S189354248,International Journal of Information Management,False
Cancer Communications,https://openalex.org/S4210240675,Cancer Communications,True
Lancet Global Health,https://openalex.org/S4210176958,The Lancet Global Health,True
Lancet Child & Adolescent Health,https://openalex.org/S2898345135,The Lancet Child & Adolescent Health,False
Cell Stem Cell,https://openalex.org/S128124174,Cell stem cell,False
ANNALS OF INTERNAL MEDICINE,https://openalex.org/S119722071,Annals of Internal Medicine,False
ACS Energy Letters,https://openalex.org/S2764414965,ACS Energy Letters,False
Carbon Energy,https://openalex.org/S4210201120,Carbon Energy,True
Kidney International Supplements,https://openalex.org/S4210177655,Kidney International Supplements,False
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,https://openalex.org/S93356601,American Journal of Respiratory and Critical Care Medicine,False
ACADEMY OF MANAGEMENT REVIEW,https://openalex.org/S46763546,Academy of Management Review,False
PHARMACOLOGICAL REVIEWS,https://openalex.org/S161680845,Pharmacological Reviews,False
Nature Metabolism,https://openalex.org/S4210232714,Nature Metabolism,False
Nature Chemistry,https://openalex.org/S202193212,Nature Chemistry,False
CLINICAL MICROBIOLOGY REVIEWS,https://openalex.org/S112662651,Clinical Microbiology Reviews,False
Chem,https://openalex.org/S2898106599,Chem,False
REPORTS ON PROGRESS IN PHYSICS,https://openalex.org/S105282323,Reports on Progress in Physics,False
Energy Storage Materials,https://openalex.org/S2764728150,Energy storage materials,False
Nature Machine Intelligence,https://openalex.org/S2912241403,Nature Machine Intelligence,False
Science Bulletin,https://openalex.org/S4210187383,Science Bulletin,False
PROGRESS IN RETINAL AND EYE RESEARCH,https://openalex.org/S138587161,Progress in Retinal and Eye Research,False
SusMat,https://openalex.org/S4210220548,SusMat,True
Journal of Advanced Ceramics,https://openalex.org/S2764962576,Journal of Advanced Ceramics,True
ADVANCED FUNCTIONAL MATERIALS,https://openalex.org/S135204980,Advanced Functional Materials,False
Matter,https://openalex.org/S4210178557,Matter,False
Psychological Science in the Public Interest,https://openalex.org/S1025063068,Psychological Science in the Public Interest,False
Nature Physics,https://openalex.org/S156274416,Nature Physics,False
Bioactive Materials,https://openalex.org/S2898508902,Bioactive Materials,True
Annual Review of Clinical Psychology,https://openalex.org/S87014875,Annual Review of Clinical Psychology,False
Science Immunology,https://openalex.org/S2764653179,Science Immunology,False
PERIODONTOLOGY 2000,https://openalex.org/S43912546,Periodontology 2000,False
Nature Synthesis,https://openalex.org/S4210215815,Nature Synthesis,False
TRENDS IN PLANT SCIENCE,https://openalex.org/S201780205,Trends in Plant Science,False
PSYCHOLOGICAL BULLETIN,https://openalex.org/S75627607,Psychological Bulletin,False
Computational Visual Media,https://openalex.org/S2487656537,Computational Visual Media,True
NATURE CELL BIOLOGY,https://openalex.org/S151741590,Nature Cell Biology,False
Advanced Fiber Materials,https://openalex.org/S4210182575,Advanced Fiber Materials,False
IEEE Reviews in Biomedical Engineering,https://openalex.org/S203619773,IEEE Reviews in Biomedical Engineering,False
Molecular Plant,https://openalex.org/S150334665,Molecular Plant,False
AMERICAN JOURNAL OF BIOETHICS,https://openalex.org/S41709181,The American Journal of Bioethics,False
EUROPEAN RESPIRATORY JOURNAL,https://openalex.org/S4210207896,European Respiratory Journal,False
Nature Aging,https://openalex.org/S4210214063,Nature Aging,False
EUROPEAN JOURNAL OF HEART FAILURE,https://openalex.org/S87609158,European Journal of Heart Failure,False
Nature Reviews Psychology,https://openalex.org/S4210237610,Nature Reviews Psychology,False
Nano Energy,https://openalex.org/S2497301991,Nano Energy,False
Wiley Interdisciplinary Reviews-Computational Molecular Science,https://openalex.org/S136120998,Wiley Interdisciplinary Reviews Computational Molecular Science,False
INTERNATIONAL MATERIALS REVIEWS,https://openalex.org/S69687699,International Materials Reviews,False
NUCLEIC ACIDS RESEARCH,https://openalex.org/S134668137,Nucleic Acids Research,True
Military Medical Research,https://openalex.org/S2739160569,Military Medical Research,True
TRENDS IN COGNITIVE SCIENCES,https://openalex.org/S192051125,Trends in Cognitive Sciences,False
TRENDS IN ECOLOGY & EVOLUTION,https://openalex.org/S79131028,Trends in Ecology & Evolution,False
ACCOUNTS OF CHEMICAL RESEARCH,https://openalex.org/S145378405,Accounts of Chemical Research,False
BEHAVIORAL AND BRAIN SCIENCES,https://openalex.org/S59628311,Behavioral and Brain Sciences,False
CIRCULATION RESEARCH,https://openalex.org/S10652568,Circulation Research,False
NEURO-ONCOLOGY,https://openalex.org/S106908163,Neuro-Oncology,False
ACTA NUMERICA,https://openalex.org/S124973578,Acta Numerica,False
PSYCHOTHERAPY AND PSYCHOSOMATICS,https://openalex.org/S184803288,Psychotherapy and Psychosomatics,False
National Science Review,https://openalex.org/S2734413303,National Science Review,True
JOURNAL OF THE ROYAL SOCIETY OF MEDICINE,https://openalex.org/S49645005,Journal of the Royal Society of Medicine,False
RENEWABLE & SUSTAINABLE ENERGY REVIEWS,https://openalex.org/S68497187,Renewable and Sustainable Energy Reviews,False
IEEE Geoscience and Remote Sensing Magazine,https://openalex.org/S2491948244,IEEE Geoscience and Remote Sensing Magazine,False
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,https://openalex.org/S67393510,Angewandte Chemie International Edition,False
International Journal of Extreme Manufacturing,https://openalex.org/S4210231351,International Journal of Extreme Manufacturing,True
ADVANCES IN COLLOID AND INTERFACE SCIENCE,https://openalex.org/S28247071,Advances in Colloid and Interface Science,False
JAMA Surgery,https://openalex.org/S86924810,JAMA Surgery,False
Nature Plants,https://openalex.org/S2764671299,Nature Plants,False
Science Translational Medicine,https://openalex.org/S24207032,Science Translational Medicine,False
Journal of Magnesium and Alloys,https://openalex.org/S2764981684,Journal of Magnesium and Alloys,True
Annual Review of Physiology,https://openalex.org/S196366644,Annual Review of Physiology,False
DRUG RESISTANCE UPDATES,https://openalex.org/S47159833,Drug Resistance Updates,False
ACS Nano,https://openalex.org/S145476921,ACS Nano,False
Nature Geoscience,https://openalex.org/S48977010,Nature Geoscience,False
PhotoniX,https://openalex.org/S3035551292,PhotoniX,True
Chinese Journal of Catalysis,https://openalex.org/S165997068,CHINESE JOURNAL OF CATALYSIS (CHINESE VERSION),False
Advances in Methods and Practices in Psychological Science,https://openalex.org/S4210173062,Advances in Methods and Practices in Psychological Science,True
Journal of Innovation & Knowledge,https://openalex.org/S2898307581,Journal of Innovation & Knowledge,True
Journal of Extracellular Vesicles,https://openalex.org/S2764464234,Journal of Extracellular Vesicles,True
Annual Review of Environment and Resources,https://openalex.org/S5491134,Annual Review of Environment and Resources,True
Lancet Haematology,https://openalex.org/S2531671668,The Lancet Haematology,False
Opto-Electronic Advances,https://openalex.org/S2883262519,Opto-Electronic Advances,True
IEEE-CAA Journal of Automatica Sinica,https://openalex.org/S2484288132,IEEE/CAA Journal of Automatica Sinica,False
SmartMat,https://openalex.org/S4210207049,SmartMat,True
ADVANCED DRUG DELIVERY REVIEWS,https://openalex.org/S114437232,Advanced Drug Delivery Reviews,False
AMERICAN JOURNAL OF PSYCHIATRY,https://openalex.org/S116025658,American Journal of Psychiatry,False
Molecular Neurodegeneration,https://openalex.org/S40861184,Molecular Neurodegeneration,True
TRENDS IN FOOD SCIENCE & TECHNOLOGY,https://openalex.org/S89023782,Trends in Food Science & Technology,False
eTransportation,https://openalex.org/S4210225447,eTransportation,False
Annual Review of Medicine,https://openalex.org/S16909082,Annual Review of Medicine,False
One Earth,https://openalex.org/S4210191196,One Earth,False
Lancet Rheumatology,https://openalex.org/S4210233594,The Lancet Rheumatology,False
Annual Review of Entomology,https://openalex.org/S92576693,Annual Review of Entomology,False
Environmental Chemistry Letters,https://openalex.org/S88719806,Environmental Chemistry Letters,False
Energy Material Advances,https://openalex.org/S4210231836,Energy Material Advances,True
KIDNEY INTERNATIONAL,https://openalex.org/S97303050,Kidney International,False
DIABETES CARE,https://openalex.org/S49878492,Diabetes Care,False
HUMAN REPRODUCTION UPDATE,https://openalex.org/S19450991,Human Reproduction Update,False
Acta Pharmaceutica Sinica B,https://openalex.org/S2736993989,Acta Pharmaceutica Sinica B,True
Information Fusion,https://openalex.org/S7560371,Information Fusion,False
Journal of the National Comprehensive Cancer Network,https://openalex.org/S935620192,Journal of the National Comprehensive Cancer Network,False
JAMA Cardiology,https://openalex.org/S2765015654,JAMA Cardiology,False
Neuron,https://openalex.org/S45757444,Neuron,False
Nature Communications,https://openalex.org/S64187185,Nature Communications,True
TRENDS IN NEUROSCIENCES,https://openalex.org/S114966740,Trends in Neurosciences,False
Autophagy,https://openalex.org/S102544370,Autophagy,False
Journal of the American Chemical Society,https://openalex.org/S111155417,Journal of the American Chemical Society,False
Molecular Cell,https://openalex.org/S156208185,Molecular Cell,False
PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,https://openalex.org/S37308595,Progress in Particle and Nuclear Physics,False
Biofuel Research Journal-BRJ,https://openalex.org/S4210226539,Biofuel Research Journal,True
Annual Review of Organizational Psychology and Organizational Behavior,https://openalex.org/S4210200923,Annual Review of Organizational Psychology and Organizational Behavior,False
Academy of Management Annals,https://openalex.org/S27614628,Academy of Management Annals,False
Bone Research,https://openalex.org/S2764590364,Bone Research,True
JOURNAL OF INFECTION,https://openalex.org/S19579164,Journal of Infection,False
Annual Review of Marine Science,https://openalex.org/S43203325,Annual Review of Marine Science,False
EDUCATIONAL PSYCHOLOGIST,https://openalex.org/S168863630,Educational Psychologist,False
Trends in Cancer,https://openalex.org/S2765069123,Trends in cancer,False
Advanced Science,https://openalex.org/S2737737698,Advanced Science,True
TRENDS IN BIOTECHNOLOGY,https://openalex.org/S147849156,Trends in biotechnology,False
Annual Review of Condensed Matter Physics,https://openalex.org/S185750702,Annual Review of Condensed Matter Physics,False
STUDIES IN MYCOLOGY,https://openalex.org/S128934584,Studies in Mycology,True
Nature Ecology & Evolution,https://openalex.org/S2764884935,Nature Ecology & Evolution,False
Environmental Science and Ecotechnology,https://openalex.org/S4210228708,Environmental Science and Ecotechnology,True
INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,https://openalex.org/S154368109,International Journal of Machine Tools and Manufacture,False
IEEE Transactions on Intelligent Vehicles,https://openalex.org/S4210199657,IEEE Transactions on Intelligent Vehicles,False
Accounts of Materials Research,https://openalex.org/S4210211377,Accounts of Materials Research,False
Clinical and Molecular Hepatology,https://openalex.org/S2764482685,Clinical and Molecular Hepatology,True
Journal of Energy Chemistry,https://openalex.org/S2500128275,Journal of Energy Chemistry,False
PROGRESS IN LIPID RESEARCH,https://openalex.org/S108758393,Progress in Lipid Research,False
TRENDS IN MICROBIOLOGY,https://openalex.org/S587692,Trends in Microbiology,False
Trends in Chemistry,https://openalex.org/S4210210487,Trends in Chemistry,False
TRENDS IN PHARMACOLOGICAL SCIENCES,https://openalex.org/S31167473,Trends in Pharmacological Sciences,False
Small Structures,https://openalex.org/S4210224134,Small Structures,True
Aggregate,https://openalex.org/S4210197658,Aggregate,False
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,https://openalex.org/S90422530,IEEE Journal on Selected Areas in Communications,False
Microbiome,https://openalex.org/S3004984423,Microbiome,True
CLINICAL PSYCHOLOGY REVIEW,https://openalex.org/S4632444,Clinical Psychology Review,False
CELL DEATH AND DIFFERENTIATION,https://openalex.org/S152938505,Cell Death and Differentiation,False
Physics of Life Reviews,https://openalex.org/S78119372,Physics of Life Reviews,False
TRENDS IN GENETICS,https://openalex.org/S139283865,Trends in Genetics,False
Lancet Regional Health-Europe,https://openalex.org/S4210196034,The Lancet Regional Health - Europe,True
Energy Economics,https://openalex.org/S94499970,Energy Economics,False
JACC: CardioOncology,https://openalex.org/S4210214127,JACC CardioOncology,True
Protein & Cell,https://openalex.org/S126440360,Protein & Cell,True
Nano Convergence,https://openalex.org/S2738500204,Nano Convergence,True
Lancet Healthy Longevity,https://openalex.org/S4210210722,The Lancet Healthy Longevity,True
Chemical Engineering Journal,https://openalex.org/S149937609,Chemical Engineering Journal,False
JOURNAL OF CLINICAL INVESTIGATION,https://openalex.org/S114430552,Journal of Clinical Investigation,True
Nature Astronomy,https://openalex.org/S2764494557,Nature Astronomy,False
Computer Science Review,https://openalex.org/S73121659,Computer Science Review,False
OPHTHALMOLOGY,https://openalex.org/S207341048,Ophthalmology,False
Nano Today,https://openalex.org/S183222223,Nano Today,False
Nature Protocols,https://openalex.org/S109387254,Nature Protocols,False
Alzheimers & Dementia,https://openalex.org/S108427512,Alzheimer s & Dementia,True
ACS Central Science,https://openalex.org/S2765035057,ACS Central Science,True
Biochar,https://openalex.org/S4210190674,Biochar,True
Advances in Applied Energy,https://openalex.org/S4210186815,Advances in Applied Energy,True
TRENDS IN IMMUNOLOGY,https://openalex.org/S84926904,Trends in Immunology,False
HEPATOLOGY,https://openalex.org/S156174673,Hepatology,False
DRUGS,https://openalex.org/S4436492,Drugs,False
Nature Chemical Biology,https://openalex.org/S51309854,Nature Chemical Biology,False
Journal of Ocean Engineering and Science,https://openalex.org/S2898412997,Journal of Ocean Engineering and Science,True
Cell Discovery,https://openalex.org/S2764388416,Cell Discovery,True
Small,https://openalex.org/S94619837,Small,False
TRENDS IN CELL BIOLOGY,https://openalex.org/S118628157,Trends in Cell Biology,False
CANADIAN MEDICAL ASSOCIATION JOURNAL,https://openalex.org/S4362743,Canadian Medical Association Journal,True
TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,https://openalex.org/S39307421,Technological Forecasting and Social Change,False
Blood Cancer Journal,https://openalex.org/S2496263508,Blood Cancer Journal,True
Med,https://openalex.org/S4210167770,Med,False
JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,https://openalex.org/S58727509,Journal of the American Academy of Dermatology,False
JACC-Cardiovascular Imaging,https://openalex.org/S195556561,JACC. Cardiovascular imaging,False
JOURNAL OF EXPERIMENTAL MEDICINE,https://openalex.org/S22947807,The Journal of Experimental Medicine,False
BIOMATERIALS,https://openalex.org/S163807576,Biomaterials,False
Lancet HIV,https://openalex.org/S2531945440,The Lancet HIV,False
LEUKEMIA,https://openalex.org/S149476849,Leukemia,False
TRENDS IN MOLECULAR MEDICINE,https://openalex.org/S64855341,Trends in Molecular Medicine,False
Annual Review of Biomedical Engineering,https://openalex.org/S171268996,Annual Review of Biomedical Engineering,False
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,https://openalex.org/S143106029,Journal of Photochemistry and Photobiology C Photochemistry Reviews,False
COMPOSITES PART B-ENGINEERING,https://openalex.org/S112674977,Composites Part B Engineering,False
ALLERGY,https://openalex.org/S68090385,Allergy,False
Nano Materials Science,https://openalex.org/S4210230927,Nano Materials Science,True
Annual Review of Nutrition,https://openalex.org/S160110530,Annual Review of Nutrition,False
International Journal of Surgery,https://openalex.org/S67965910,International Journal of Surgery,False
Analytic Methods in Accident Research,https://openalex.org/S2898450762,Analytic Methods in Accident Research,False
NATURE STRUCTURAL & MOLECULAR BIOLOGY,https://openalex.org/S139253143,Nature Structural & Molecular Biology,False
Communications in Transportation Research,https://openalex.org/S4210178498,Communications in Transportation Research,True
Business Strategy and the Environment,https://openalex.org/S205793605,Business Strategy and the Environment,False
CANCER RESEARCH,https://openalex.org/S168522863,Cancer Research,False
AGEING RESEARCH REVIEWS,https://openalex.org/S117312820,Ageing Research Reviews,False
AMERICAN PSYCHOLOGIST,https://openalex.org/S80146597,American Psychologist,False
npj Digital Medicine,https://openalex.org/S4210195431,npj Digital Medicine,True
Theranostics,https://openalex.org/S2482500137,Theranostics,True
Resources Environment and Sustainability,https://openalex.org/S4210199161,Resources Environment and Sustainability,True
Applied Computing and Informatics,https://openalex.org/S2737635154,Applied Computing and Informatics,True
npj Flexible Electronics,https://openalex.org/S4210223376,npj Flexible Electronics,True
JOURNAL OF MANUFACTURING SYSTEMS,https://openalex.org/S201698446,Journal of Manufacturing Systems,False
Gut Microbes,https://openalex.org/S2764770702,Gut Microbes,True
JOURNAL OF HAZARDOUS MATERIALS,https://openalex.org/S145089992,Journal of Hazardous Materials,False
Materials Horizons,https://openalex.org/S2764386229,Materials Horizons,False
Applied Mechanics Reviews,https://openalex.org/S83146831,Applied Mechanics Reviews,False
CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,https://openalex.org/S7637673,Current Opinion in Solid State and Materials Science,False
RADIOLOGY,https://openalex.org/S50280174,Radiology,False
SEMINARS IN CANCER BIOLOGY,https://openalex.org/S154149207,Seminars in Cancer Biology,False
Nature Reviews Urology,https://openalex.org/S67216020,Nature Reviews Urology,False
MOLECULAR THERAPY,https://openalex.org/S51596929,Molecular Therapy,False
Annual Review of Neuroscience,https://openalex.org/S131371711,Annual Review of Neuroscience,False
Annual Review of Biochemistry,https://openalex.org/S53860259,Annual Review of Biochemistry,False
BIOTECHNOLOGY ADVANCES,https://openalex.org/S160877137,Biotechnology Advances,False
