rank,journal_name,issn,eissn,url,source
102,Advanced Energy Materials,1614-6832,1614-6840,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1614-6840,GoingPub-EISSN
103,Lancet Planetary Health,,2542-5196,http://www.thelancet.com/journals/lanplh/issue/current,GoingPub-EISSN
104,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,0370-1573,1873-6270,http://www.journals.elsevier.com/physics-reports/,GoingPub-EISSN
105,ACM COMPUTING SURVEYS,0360-0300,1557-7341,http://csur.acm.org/,GoingPub-EISSN
105,Lancet Digital Health,,2589-7500,https://www.thelancet.com/journals/landig/home,GoingPub-EISSN
105,iMeta,2770-5986,2770-596X,https://onlinelibrary.wiley.com/journal/2770596x,DOAJ-ISSN
108,Annual Review of Psychology,0066-4308,1545-2085,http://www.annualreviews.org/journal/psych,GoingPub-EISSN
108,Nature Food,,2662-1355,https://www.nature.com/natfood/,Journal.csv-EISSN
110,Nature Cancer,,2662-1347,https://www.nature.com/natcancer,GoingPub-EISSN
111,PROCEEDINGS OF THE IEEE,0018-9219,1558-2256,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=5,GoingPub-EISSN
111,Advanced Composites and Hybrid Materials,2522-0128,2522-0136,https://www.springer.com/42114,GoingPub-EISSN
113,GUT,0017-5749,1468-3288,http://gut.bmj.com/,GoingPub-EISSN
114,Living Reviews in Solar Physics,2367-3648,1614-4961,https://www.springer.com/journal/41116,GoingPub-EISSN
115,InfoMat,,2567-3165,https://onlinelibrary.wiley.com/journal/25673165,GoingPub-EISSN
116,JAMA Psychiatry,2168-622X,2168-6238,http://archpsyc.jamanetwork.com/journal.aspx,GoingPub-EISSN
117,Nature Human Behaviour,2397-3374,2397-3374,https://www.nature.com/nathumbehav,GoingPub-ISSN
117,JAMA Oncology,2374-2437,2374-2445,https://jamanetwork.com/journals/jamaoncology,GoingPub-EISSN
117,JAMA Internal Medicine,2168-6106,2168-6114,http://archinte.jamanetwork.com/journal.aspx,GoingPub-EISSN
120,EnergyChem,2589-7780,2589-7780,https://www.sciencedirect.com/journal/energychem/publish/guide-for-authors,Journal.csv-ISSN
121,ENDOCRINE REVIEWS,0163-769X,1945-7189,https://academic.oup.com/edrv,GoingPub-EISSN
122,Cellular & Molecular Immunology,1672-7681,2042-0226,https://www.nature.com/cmi,GoingPub-EISSN
123,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,0735-1097,1558-3597,http://content.onlinejacc.org/journal.aspx,GoingPub-EISSN
124,Annual Review of Public Health,0163-7525,1545-2093,http://www.annualreviews.org/journal/publhealth,GoingPub-EISSN
124,Annual Review of Plant Biology,1543-5008,1545-2123,http://www.annualreviews.org/journal/arplant,GoingPub-EISSN
126,NATURE NEUROSCIENCE,1097-6256,1546-1726,https://www.nature.com/neuro,GoingPub-EISSN
127,Journal of Thoracic Oncology,1556-0864,1556-1380,http://www.jto.org/,GoingPub-EISSN
127,BLOOD,0006-4971,1528-0020,http://bloodjournal.hematologylibrary.org/,GoingPub-EISSN
127,Materials Today,1369-7021,1873-4103,http://www.sciencedirect.com/science/journal/13697021,GoingPub-EISSN
130,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,0149-2195,1545-861X,http://www.cdc.gov/mmwr/index.html,GoingPub-EISSN
131,JAMA Neurology,2168-6149,2168-6157,http://archneur.jamanetwork.com/journal.aspx,GoingPub-EISSN
131,Lancet Microbe,,2666-5247,https://www.journals.elsevier.com/the-lancet-microbe,GoingPub-EISSN
133,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,0162-8828,1939-3539,http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=34,GoingPub-EISSN
134,Cell Host & Microbe,1931-3128,1934-6069,http://www.cell.com/cell-host-microbe/home,GoingPub-EISSN
134,Light-Science & Applications,2095-5545,2047-7538,http://www.nature.com/lsa,GoingPub-EISSN
134,Advanced Photonics,,2577-5421,http://advphoton.org,GoingPub-EISSN
137,Nature Microbiology,2058-5276,2058-5276,https://www.nature.com/nmicrobiol,GoingPub-ISSN
138,ANNALS OF THE RHEUMATIC DISEASES,0003-4967,1468-2060,http://ard.bmj.com/,GoingPub-EISSN
138,Applied Catalysis B-Environment and Energy,0926-3373,1873-3883,http://www.elsevier.com/wps/find/journaldescription.cws_home/523066/description#description,GoingPub-EISSN
138,COORDINATION CHEMISTRY REVIEWS,0010-8545,1873-3840,http://http://www.sciencedirect.com/science/journal/00108545,GoingPub-EISSN
141,Journal of Bioresources and Bioproducts,2097-2415,2369-9698,https://www.keaipublishing.com/en/journals/journal-of-bioresources-and-bioproducts/,DOAJ-EISSN
142,INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,0268-4012,1873-4707,https://www.sciencedirect.com/journal/international-journal-of-information-management,Journal.csv-ISSN
142,Cancer Communications,,2523-3548,https://www.springer.com/journal/40880,GoingPub-EISSN
144,Lancet Global Health,2214-109X,2214-109X,http://www.thelancet.com/journals/langlo/latestcontent,GoingPub-ISSN
145,Lancet Child & Adolescent Health,2352-4642,2352-4642,https://www.journals.elsevier.com/the-lancet-child-and-adolescent-health,GoingPub-ISSN
146,Cell Stem Cell,1934-5909,1875-9777,http://www.cell.com/cell-stem-cell/home,GoingPub-EISSN
147,ANNALS OF INTERNAL MEDICINE,0003-4819,1539-3704,http://annals.org/,GoingPub-EISSN
148,ACS Energy Letters,2380-8195,2380-8195,https://pubs.acs.org/journal/aelccp,GoingPub-ISSN
148,Carbon Energy,,2637-9368,https://onlinelibrary.wiley.com/journal/26379368,GoingPub-EISSN
150,Kidney International Supplements,2157-1724,2157-1716,http://www.kisupplements.org/,GoingPub-EISSN
150,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,1535-4970,http://ajrccm.atsjournals.org/,GoingPub-EISSN
150,ACADEMY OF MANAGEMENT REVIEW,0363-7425,1930-3807,https://journals.aom.org/journal/amr,Journal.csv-ISSN
150,PHARMACOLOGICAL REVIEWS,0031-6997,1521-0081,http://pharmrev.aspetjournals.org/,GoingPub-EISSN
154,Nature Metabolism,,2522-5812,https://www.nature.com/natmetab,GoingPub-EISSN
154,Nature Chemistry,1755-4330,1755-4349,https://www.nature.com/nchem,GoingPub-EISSN
156,CLINICAL MICROBIOLOGY REVIEWS,0893-8512,1098-6618,http://cmr.asm.org/,GoingPub-EISSN
156,Chem,2451-9294,2451-9294,https://www.cell.com/chem/home,GoingPub-ISSN
156,REPORTS ON PROGRESS IN PHYSICS,0034-4885,1361-6633,http://iopscience.iop.org/journal/0034-4885,GoingPub-EISSN
159,Energy Storage Materials,2405-8297,2405-8289,https://www.sciencedirect.com/journal/energy-storage-materials,Journal.csv-ISSN
160,Nature Machine Intelligence,,2522-5839,https://www.nature.com/natmachintell,GoingPub-EISSN
160,Science Bulletin,2095-9273,2095-9281,https://www.sciencedirect.com/journal/science-bulletin,GoingPub-EISSN
162,PROGRESS IN RETINAL AND EYE RESEARCH,1350-9462,1873-1635,http://www.journals.elsevier.com/progress-in-retinal-and-eye-research/,GoingPub-EISSN
162,SusMat,2766-8479,2692-4552,https://onlinelibrary.wiley.com/journal/26924552,DOAJ-ISSN
164,Journal of Advanced Ceramics,2226-4108,2227-8508,https://www.springer.com/40145,GoingPub-EISSN
165,ADVANCED FUNCTIONAL MATERIALS,1616-301X,1616-3028,https://onlinelibrary.wiley.com/journal/16163028,GoingPub-EISSN
166,Matter,2590-2393,2590-2385,https://www.cell.com/matter/home,GoingPub-EISSN
167,Psychological Science in the Public Interest,1529-1006,1539-6053,https://journals.sagepub.com/home/psi,Journal.csv-ISSN
168,Nature Physics,1745-2473,1745-2481,https://www.nature.com/nphys,GoingPub-EISSN
169,Bioactive Materials,,2452-199X,http://www.keaipublishing.com/en/journals/bioactive-materials/,GoingPub-EISSN
170,Annual Review of Clinical Psychology,1548-5943,1548-5951,http://www.annualreviews.org/loi/clinpsy,GoingPub-EISSN
170,Science Immunology,2470-9468,2470-9468,https://immunology.sciencemag.org/,GoingPub-ISSN
172,PERIODONTOLOGY 2000,0906-6713,1600-0757,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0757,GoingPub-EISSN
172,Nature Synthesis,,2731-0582,https://www.nature.com/natsynth/,Journal.csv-EISSN
174,TRENDS IN PLANT SCIENCE,1360-1385,1878-4372,http://www.elsevier.com/wps/find/journaldescription.cws_home/30960/description#description,GoingPub-EISSN
175,PSYCHOLOGICAL BULLETIN,0033-2909,1939-1455,http://www.apa.org/pubs/journals/bul/index.aspx,GoingPub-EISSN
175,Computational Visual Media,2096-0433,2096-0662,https://www.springer.com/41095,GoingPub-EISSN
175,NATURE CELL BIOLOGY,1465-7392,1476-4679,https://www.nature.com/ncb,GoingPub-EISSN
178,Advanced Fiber Materials,2524-7921,2524-793X,https://link.springer.com/journal/42765,Journal.csv-ISSN
178,IEEE Reviews in Biomedical Engineering,1937-3333,1941-1189,https://www.embs.org/rbme/,Journal.csv-ISSN
180,Molecular Plant,1674-2052,1752-9867,https://www.cell.com/molecular-plant/home,GoingPub-EISSN
181,AMERICAN JOURNAL OF BIOETHICS,1526-5161,1536-0075,http://www.tandfonline.com/toc/uajb20/current,GoingPub-EISSN
181,EUROPEAN RESPIRATORY JOURNAL,0903-1936,1399-3003,http://erj.ersjournals.com/,GoingPub-EISSN
181,Nature Aging,,2662-8465,https://www.nature.com/nataging/,Journal.csv-EISSN
184,EUROPEAN JOURNAL OF HEART FAILURE,1388-9842,1879-0844,http://eurjhf.oxfordjournals.org/,GoingPub-EISSN
185,Nature Reviews Psychology,,2731-0574,https://www.nature.com/nrpsychol/,Journal.csv-EISSN
185,Nano Energy,2211-2855,2211-3282,http://www.journals.elsevier.com/nano-energy/,GoingPub-EISSN
185,Wiley Interdisciplinary Reviews-Computational Molecular Science,1759-0876,1759-0884,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1759-0884,GoingPub-EISSN
185,INTERNATIONAL MATERIALS REVIEWS,0950-6608,1743-2804,http://www.maney.co.uk/index.php/journals/imr/,GoingPub-EISSN
189,NUCLEIC ACIDS RESEARCH,0305-1048,1362-4962,https://academic.oup.com/nar,GoingPub-EISSN
189,Military Medical Research,2095-7467,2054-9369,https://www.springer.com/journal/40779,GoingPub-EISSN
189,TRENDS IN COGNITIVE SCIENCES,1364-6613,1879-307X,http://www.cell.com/trends/cognitive-sciences/home,GoingPub-EISSN
189,TRENDS IN ECOLOGY & EVOLUTION,0169-5347,1872-8383,http://www.cell.com/trends/ecology-evolution,GoingPub-EISSN
189,ACCOUNTS OF CHEMICAL RESEARCH,0001-4842,1520-4898,http://pubs.acs.org/journal/achre4,GoingPub-EISSN
194,BEHAVIORAL AND BRAIN SCIENCES,0140-525X,1469-1825,https://journals.cambridge.org/action/displayJournal?jid=BBS,GoingPub-EISSN
195,CIRCULATION RESEARCH,0009-7330,1524-4571,http://circres.ahajournals.org/,GoingPub-EISSN
196,NEURO-ONCOLOGY,1522-8517,1523-5866,https://academic.oup.com/neuro-oncology,GoingPub-EISSN
197,ACTA NUMERICA,0962-4929,1474-0508,http://ores.su/en/journals/acta-numerica/,GoingPub-EISSN
197,PSYCHOTHERAPY AND PSYCHOSOMATICS,0033-3190,1423-0348,http://www.karger.com/Journal/Home/223864,GoingPub-EISSN
197,National Science Review,2095-5138,2053-714X,https://academic.oup.com/nsr,GoingPub-EISSN
197,JOURNAL OF THE ROYAL SOCIETY OF MEDICINE,0141-0768,1758-1095,http://jrs.sagepub.com/,GoingPub-EISSN
197,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,1364-0321,1879-0690,http://www.elsevier.com/wps/find/journaldescription.cws_home/600126/description#description,GoingPub-EISSN
202,IEEE Geoscience and Remote Sensing Magazine,2473-2397,2168-6831,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=6245518,GoingPub-EISSN
203,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,1433-7851,1521-3773,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3773,GoingPub-EISSN
203,International Journal of Extreme Manufacturing,2631-8644,2631-7990,https://iopscience.iop.org/journal/2631-7990,GoingPub-EISSN
205,ADVANCES IN COLLOID AND INTERFACE SCIENCE,0001-8686,1873-3727,http://www.elsevier.com/wps/find/journaldescription.cws_home/500842/description#description,GoingPub-EISSN
206,JAMA Surgery,2168-6254,2168-6262,http://archsurg.jamanetwork.com/journal.aspx,GoingPub-EISSN
207,Nature Plants,2055-026X,2055-0278,https://www.nature.com/nplants,GoingPub-EISSN
207,Science Translational Medicine,1946-6234,1946-6242,http://stm.sciencemag.org/,GoingPub-EISSN
207,Journal of Magnesium and Alloys,2213-9567,2213-9567,http://www.keaipublishing.com/en/journals/journal-of-magnesium-and-alloys/,GoingPub-ISSN
207,Annual Review of Physiology,0066-4278,1545-1585,http://www.annualreviews.org/journal/physiol,GoingPub-EISSN
207,DRUG RESISTANCE UPDATES,1368-7646,1532-2084,http://www.journals.elsevier.com/drug-resistance-updates/,GoingPub-EISSN
207,ACS Nano,1936-0851,1936-086X,http://pubs.acs.org/journal/ancac3,GoingPub-EISSN
213,Nature Geoscience,1752-0894,1752-0908,https://www.nature.com/ngeo,GoingPub-EISSN
213,PhotoniX,,2662-1991,https://photonix.springeropen.com/,GoingPub-EISSN
213,Chinese Journal of Catalysis,0253-9837,1872-2067,http://www.elsevier.com/wps/find/journaldescription.cws_home/709300/description#description,GoingPub-EISSN
216,Advances in Methods and Practices in Psychological Science,2515-2459,2515-2467,https://journals.sagepub.com/home/AMP,DOAJ-ISSN
216,Journal of Innovation & Knowledge,2530-7614,2444-569X,https://www.journals.elsevier.com/journal-of-innovation-and-knowledge,GoingPub-EISSN
218,Journal of Extracellular Vesicles,,2001-3078,https://www.tandfonline.com/toc/zjev20/current,GoingPub-EISSN
218,Annual Review of Environment and Resources,1543-5938,1545-2050,http://www.annualreviews.org/journal/ento,GoingPub-EISSN
220,Lancet Haematology,2352-3026,,http://www.journals.elsevier.com/the-lancet-haematology/,GoingPub-Name
221,Opto-Electronic Advances,2096-4579,2096-4579,http://www.oejournal.org/oea,DOAJ-ISSN
221,IEEE-CAA Journal of Automatica Sinica,2329-9266,2329-9274,https://www.ieee-jas.net/,GoingPub-EISSN
221,SmartMat,2766-8525,2688-819X,https://onlinelibrary.wiley.com/journal/2688819x,DOAJ-EISSN
224,ADVANCED DRUG DELIVERY REVIEWS,0169-409X,1872-8294,http://www.elsevier.com/wps/find/journaldescription.cws_home/505508/description#description,GoingPub-EISSN
225,AMERICAN JOURNAL OF PSYCHIATRY,0002-953X,1535-7228,http://ajp.psychiatryonline.org/,GoingPub-EISSN
225,Molecular Neurodegeneration,,1750-1326,http://molecularneurodegeneration.biomedcentral.com,GoingPub-EISSN
225,TRENDS IN FOOD SCIENCE & TECHNOLOGY,0924-2244,1879-3053,https://www.sciencedirect.com/journal/trends-in-food-science-and-technology/,GoingPub-EISSN
225,eTransportation,2590-1168,2590-1168,https://www.sciencedirect.com/journal/etransportation,GoingPub-ISSN
225,Annual Review of Medicine,0066-4219,1545-326X,http://www.annualreviews.org/journal/med,GoingPub-EISSN
225,One Earth,2590-3330,2590-3322,https://www.journals.elsevier.com/one-earth,GoingPub-EISSN
231,Lancet Rheumatology,2665-9913,2665-9913,https://www.journals.elsevier.com/the-lancet-rheumatology,GoingPub-ISSN
231,Annual Review of Entomology,0066-4170,1545-4487,http://www.annualreviews.org/journal/ento,GoingPub-EISSN
231,Environmental Chemistry Letters,1610-3653,1610-3661,https://www.springer.com/10311,GoingPub-EISSN
234,Energy Material Advances,2097-1133,2692-7640,https://spj.sciencemag.org/journals/energymatadv/,DOAJ-EISSN
235,KIDNEY INTERNATIONAL,0085-2538,1523-1755,http://www.nature.com/ki/index.html,GoingPub-EISSN
235,DIABETES CARE,0149-5992,1935-5548,http://care.diabetesjournals.org/,GoingPub-EISSN
235,HUMAN REPRODUCTION UPDATE,1355-4786,1460-2369,https://academic.oup.com/humupd,GoingPub-EISSN
235,Acta Pharmaceutica Sinica B,2211-3835,2211-3843,https://www.journals.elsevier.com/acta-pharmaceutica-sinica-b,GoingPub-EISSN
235,Information Fusion,1566-2535,1872-6305,http://www.journals.elsevier.com/information-fusion/,GoingPub-EISSN
235,Journal of the National Comprehensive Cancer Network,1540-1405,1540-1413,http://www.jnccn.org/,GoingPub-EISSN
